iter	Passed	Remaining
0	143	143509
1	145	72388
2	146	48688
3	147	36787
4	149	29744
5	151	25040
6	153	21777
7	155	19266
8	157	17309
9	159	15773
10	160	14450
11	162	13348
12	163	12408
13	164	11606
14	166	10943
15	168	10332
16	169	9811
17	170	9326
18	172	8892
19	173	8505
20	174	8153
21	176	7830
22	177	7519
23	178	7250
24	179	7008
25	181	6782
26	182	6570
27	183	6365
28	184	6184
29	186	6015
30	187	5857
31	188	5706
32	190	5569
33	191	5437
34	194	5373
35	196	5255
36	197	5144
37	199	5042
38	200	4942
39	201	4845
40	203	4751
41	204	4662
42	205	4567
43	206	4486
44	207	4407
45	208	4323
46	209	4251
47	211	4185
48	212	4128
49	214	4073
50	215	4014
51	216	3944
52	217	3882
53	218	3828
54	219	3775
55	220	3724
56	222	3675
57	223	3627
58	224	3582
59	225	3538
60	227	3495
61	228	3453
62	229	3414
63	230	3374
64	232	3337
65	233	3305
66	235	3280
67	237	3248
68	238	3215
69	239	3183
70	240	3152
71	242	3120
72	243	3089
73	244	3059
74	245	3030
75	246	3002
76	248	2975
77	249	2947
78	250	2921
79	251	2896
80	253	2871
81	254	2846
82	255	2825
83	257	2806
84	258	2783
85	260	2763
86	261	2745
87	262	2723
88	264	2702
89	265	2681
90	266	2661
91	267	2642
92	269	2627
93	270	2610
94	272	2591
95	273	2573
96	273	2549
97	275	2531
98	276	2513
99	277	2497
100	278	2478
101	279	2464
102	281	2451
103	282	2435
104	283	2420
105	285	2404
106	286	2389
107	287	2375
108	288	2361
109	290	2347
110	291	2333
111	292	2318
112	293	2300
113	294	2287
114	295	2273
115	296	2260
116	297	2247
117	299	2236
118	300	2225
119	302	2216
120	304	2210
121	304	2194
122	306	2183
123	307	2172
124	308	2161
125	310	2150
126	311	2139
127	312	2126
128	313	2116
129	314	2105
130	315	2095
131	317	2084
132	318	2074
133	319	2064
134	320	2054
135	322	2048
136	323	2039
137	325	2030
138	325	2018
139	327	2009
140	328	2000
141	329	1991
142	330	1982
143	331	1973
144	333	1964
145	334	1955
146	335	1947
147	336	1938
148	337	1929
149	339	1921
150	340	1913
151	341	1905
152	342	1897
153	344	1892
154	345	1885
155	347	1879
156	348	1872
